name,log10_adj_p_val,median_diff
ABLIM1 (3983),0.0803024048536845,-0.00304242967368164
ABLIM2 (84448),0.568213218925946,0.02533166181349
ABLIM3 (22885),0.469885549351309,-0.0481125312177318
ABR (29),0.322329285396188,0.00800015497755889
ABRA (137735),0.148600538375452,-0.0242922529588439
ABRACL (58527),0.0150267681200754,0.00923433377341487
ABRAXAS1 (84142),0.0560251640081779,0.00343031367990682
ABRAXAS2 (23172),0.0953937908444081,0.000583386464417648
ABT1 (29777),0.237027935590067,0.00933914781300471
ABTB1 (80325),0.720450009915941,0.0483841459010911
ABTB2 (25841),0.249619865216567,0.0152187771822621
ACAA1 (30),0.438758531153402,-0.0241217053809226
ACAA2 (10449),0.255987692249597,0.00702640361450903
ACACA (31),1.73485218652985,-0.125126804500867
ACACB (32),0.748916130197204,-0.0335627883774162
