name,log10_adj_p_val,median_diff
SCHIP1 (29970),1.98551858913309,-0.0406816253743199
NPTX1 (4884),1.97030400652717,-0.0863382514496298
ACSM4 (341392),1.95514827945038,-0.0263714033944964
ADAMTS17 (170691),1.95514827945038,-0.0421414386857055
KRTAP17-1 (83902),1.95514827945038,-0.0733044666134669
MPST (4357),1.95514827945038,-0.0601959366889235
TEX46 (729059),1.95514827945038,-0.0538502354897237
TIPARP (25976),1.95514827945038,-0.147333718289334
HEXB (3074),1.94005137520596,-0.0469709948568499
POP7 (10248),1.94005137520596,-0.118649354776232
RAB40B (10966),1.94005137520596,-0.0408624585131172
LY6E (4061),1.92501326084419,-0.0382833920945712
RWDD2B (10069),1.92501326084419,-0.0311686430558125
XRCC4 (7518),1.92501326084419,-0.0662117480114148
ARMT1 (79624),1.91003390316005,-0.0668624417432254
LRIG1 (26018),1.91003390316005,-0.060044112154552
RMND5B (64777),1.91003390316005,-0.0445353276698558
SNTN (132203),1.91003390316005,-0.0538614465055524
EVPL (2125),1.89511326869098,-0.0736711333464274
SUDS3 (64426),1.89511326869098,-0.107134312971056
CYB5B (80777),1.88025132371453,-0.0794039541129707
SPATA5 (166378),1.88025132371453,-0.208848143058171
TRIM67 (440730),1.88025132371453,-0.0406532537001373
FAM71D (161142),1.86544803424601,-0.04577036687074
FIG4 (9896),1.86544803424601,-0.0578594486187184
ITGB7 (3695),1.86544803424601,-0.0649503872830045
NMD3 (51068),1.86544803424601,-0.146872594850864
POLR1E (64425),1.86544803424601,-0.251225308783788
SLC2A13 (114134),1.86544803424601,-0.0526995550297369
UFSP2 (55325),1.86544803424601,-0.0942213166607943
RAB3GAP2 (25782),1.85070336603615,-0.0775736743791211
TRMT112 (51504),1.85070336603615,-0.0689028111176051
ZNF593 (51042),1.85070336603615,-0.153535255127667
BCAR1 (9564),1.8360172845687,-0.149956146114622
GRHL1 (29841),1.8360172845687,-0.0426370400577695
SCGB1D1 (10648),1.8360172845687,-0.089504992022273
SUSD4 (55061),1.8360172845687,-0.0549388480067966
CAND1 (55832),1.82138975505801,-0.166090015113856
MPZ (4359),1.82138975505801,-0.052820086765334
C2CD2L (9854),1.80682074244663,-0.0534672852809608
CCNB1 (891),1.80682074244663,-0.311589994142507
CSRNP2 (81566),1.80682074244663,-0.0726198015784659
DLX1 (1745),1.80682074244663,-0.0415717013445515
HTR1B (3351),1.80682074244663,-0.057186957592973
NUDCD2 (134492),1.80682074244663,-0.0665845797705428
POLR1H (30834),1.80682074244663,-0.153279259891449
LRP11 (84918),1.79231021140282,-0.0630082064899145
MOB3B (79817),1.79231021140282,-0.0388860622306832
PPA1 (5464),1.79231021140282,-0.0934791616343398
LRP6 (4040),1.77785812631812,-0.0482118539453821
RPP38 (10557),1.77785812631812,-0.115932860025062
BCAM (4059),1.76346445130478,-0.0458245921316431
CRIP2 (1397),1.76346445130478,-0.0348902962778575
MAX (4149),1.76346445130478,-0.1289177340359
OBSCN (84033),1.76346445130478,-0.0513639247484177
SMAD4 (4089),1.76346445130478,-0.0673089344087219
ZDHHC17 (23390),1.76346445130478,-0.0430272223340978
ZNF654 (55279),1.76346445130478,-0.0792546594616463
ATAD2 (29028),1.7491291501933,-0.0735774517670048
BTNL9 (153579),1.7491291501933,-0.0225043667938926
LURAP1L (286343),1.7491291501933,-0.0425769264374527
OASL (8638),1.7491291501933,-0.0487539860778688
